;Name;mse;mae;mape
0;model_cnn;9606.050673300315;6532.887853422619;0.25368263379703554
1;model_lstm_bidirectional;20967.124781216917;16837.101792279413;0.4429210764970205
2;model_cnn_lstm;9990.112402000306;7001.440192795869;0.2926673899032894
3;model_E_D_lstm_cnn;12909.126765032972;9855.47906326593;0.36017581495422835
4;model_E_D_lstm;45497.39754480511;38961.23459164622;0.8455441697225232
5;model_ConvLSTM_D_E;13507.706031440039;10585.718929993873;0.42671931510202715
6;model_multi_cnn;69794.79256454953;59635.4758091176;1.2878627911185259
7;model_multi_cnn2;9063.205650860438;6631.089443824406;0.24241324521909302
8;model_multi_lstm;19991.80589887066;16002.043582589287;0.4494166735819049
9;model_multi_lstm2;24983.909827620064;20589.21371728379;0.48032892006859634
10;model_multi_conv_lstm;12631.407207749711;9442.371182515973;0.2850801447624121
11;model_combined_ConvLSTM;11944.941164146905;8924.485165824142;0.31450878153704764
12;model_combined_CNN_ConvLSTM;10461.076860834612;7971.92754453344;0.26018802146685777
